,placename,where_about_x,where_abouts_x,where_at_x,where_is_x,where_is_x_at,where_to_is_x,where_x_about,where_x_abouts,where_x_to,longitude,latitude
50,Craigavon,0.31042377135565363,0.3425837199102827,0.01,0.9780071,0.24441834907121243,0.01,0.01,0.01,0.01,-6.4175653,54.442930000000004
51,Drogheda,0.04984083252591046,0.01,0.01,1.0,0.12567648415798344,0.01,0.01,0.01,0.01,-6.3560985,53.717859999999995
52,Rosslare,0.1932318140888852,0.1772255095162686,0.01,0.9780071,0.18425922800909747,0.01,0.01,0.01,0.01,-6.3414908,52.25131
53,Newry,0.1646733731831739,0.288049253239299,0.01,0.9780071,0.16041630691777992,0.01,0.01,0.01,0.01,-6.34023,54.1751
54,Ballymena,0.2515071388933681,0.42258987914073953,0.01,0.9780071,0.8690072978354114,0.43714325175522,0.01,0.01,0.01,-6.2802213,54.86529
55,Banbridge,0.24242241607495132,0.2723426452754213,0.01,0.9780071,0.01,0.01,0.01,0.01,0.01,-6.2704803,54.34873
56,Dublin,0.2342717818681979,0.2847596391588713,0.01,0.9780071,0.1590761214061049,0.12932180750091876,0.01,0.01,0.01,-6.2603097000000005,53.34981
57,Antrim,0.1484595703858486,0.49079802139320755,0.01,0.9780071,0.1841126201070208,0.1087929385579188,0.10219054032178192,0.01,0.01,-6.2072498,54.719530000000006
58,Wicklow,0.11872557093888918,0.3252862717596708,0.01,0.9780071,0.21593385632413695,0.01,0.01,0.01,0.01,-6.044589,52.980819999999994
59,Kilkeel,0.1635482173488682,0.19087061495169752,0.01,0.9780071,0.09715443169259268,0.01,0.01,0.01,0.01,-6.007004,54.06312
60,Belfast,0.11334072739263164,0.45178080498272183,0.01,0.9780071,0.12552505480236714,0.10784757019607005,0.10130254423507809,0.01,0.01,-5.93012,54.597280000000005
61,Down,0.2746133070484107,0.01,0.01,0.9780071,0.1590745737790428,0.01,0.01,0.01,0.01,-5.7156921999999994,54.32875
62,Balivanich,0.4712639741504998,0.6782952434846086,0.01,0.9780071,0.2685165095795437,0.01,0.08238411445948336,0.01,0.01,-7.3743509000000005,57.472269999999995
63,Western Isles,0.517987390346952,0.6552749724784684,0.01,0.9780071,0.24051142407701753,0.01,0.09550575147058969,0.01,0.01,-7.0194034,57.759890000000006
64,Dunvegan,0.5140642253020236,0.617982101438184,0.01,0.9780071,0.25916812783494775,0.01,0.09481089547120226,0.01,0.01,-6.581398200000001,57.4366
65,Stornoway,0.7089715464786515,0.6230828751317208,0.01,0.9780071,0.23020250164390732,0.01,0.1911869088473331,0.01,0.01,-6.384869200000001,58.209430000000005
66,Scilly Isles,0.16134864677993133,0.6129454588001202,0.01,0.9780071,0.09749169534389852,0.04877341438050118,0.09162693158119123,0.01,0.41426094867508473,-6.327496599999999,49.92773
67,Portree,0.5935998037179673,0.6016609501845561,0.01,0.9780071,0.2471500894082011,0.01,0.09743506092232855,0.01,0.01,-6.1960231,57.41246999999999
68,Islay,0.19367384404775553,0.6659653949854886,0.01,0.9780071,0.16483424646306202,0.059904371813999,0.028134455252582652,0.01,0.01,-6.177067,55.73625
69,Mull,0.15465431241108063,0.6626114290886399,0.01,0.9780071,0.1643120413778333,0.06633201460184492,0.031153234388328704,0.01,0.01,-6.0008870000000005,56.4392
70,Broadford,0.5419892840639216,0.6736355501657177,0.01,0.9780071,0.2487287880597953,0.01,0.17851234266028818,0.01,0.01,-5.9096592,57.24139
71,Kyle of Lochalsh,0.5363283654786839,0.636552880341679,0.01,0.9780071,0.22572777609026903,0.01,0.17671813903262332,0.01,0.01,-5.7143293,57.28261
72,Campbeltown,0.18954732278096562,0.6815771493285924,0.01,0.9780071,0.16304013002924478,0.05875413843435581,0.02759424109842912,0.01,0.011341659640926129,-5.605373999999999,55.424119999999995
73,Penzance,0.16099059164905868,0.6117434338335286,0.01,0.9780071,0.0869771766079979,0.048677769980682024,0.09144724630504422,0.01,0.41344855878434494,-5.537592,50.1188
74,Oban,0.1435578982306299,0.6596097792684865,0.01,0.9780071,0.17865878234012283,0.06603152802059492,0.06202422341138538,0.01,0.01,-5.471047,56.41516
75,Lochgilphead,0.15869114179371446,0.6749418662836218,0.01,0.9780071,0.15874885780658507,0.060711814248835844,0.02851367822055988,0.01,0.01171956251070403,-5.4323449,56.03829
76,Helston,0.1781310206077968,0.61780116944433,0.01,0.9780071,0.07846004916811176,0.04915979423431602,0.09235279424386339,0.01,0.39856348198447433,-5.274996,50.10159
77,Redruth,0.17726500236572137,0.6151175257701614,0.01,0.9780071,0.07773647399245459,0.048946251398356184,0.09195162743877772,0.01,0.3968321815244962,-5.226666000000001,50.23302
78,Ullapool,0.8137470729473927,0.6209889575373675,0.01,0.9780071,0.2579203832781753,0.01,0.20113021271841958,0.01,0.01,-5.161313,57.895419999999994
79,Ballachulish,0.20704687547920417,0.6577633530938911,0.01,0.9780071,0.17891592652890526,0.01,0.07235353396353367,0.01,0.01,-5.133719999999999,56.673930000000006
80,Fort William,0.409541353533171,0.6845628859637245,0.01,0.9780071,0.23858754506645366,0.01,0.19954887825351642,0.01,0.01,-5.1052179,56.81981999999999
81,Achnasheen,0.8262788066163546,0.6653261632630234,0.01,0.9780071,0.20646345013810488,0.01,0.20414884706345157,0.01,0.01,-5.078765799999999,57.578590000000005
82,Newquay,0.14689931273860918,0.6157510177079715,0.01,0.9780071,0.07790730821046511,0.04899666267098813,0.09204632592839124,0.01,0.39724086712469775,-5.0737190000000005,50.4155
83,Falmouth,0.16651891371373595,0.6303022732490713,0.01,0.9780071,0.08183078090940113,0.05015453481425324,0.0942215436387924,0.01,0.4066283545764811,-5.066269999999999,50.152570000000004
84,Rothesay,0.2076701948917729,0.6715061268521842,0.01,0.9780071,0.15975404158342965,0.05870127796172849,0.05513882970717414,0.01,0.011331456772593689,-5.055793,55.83596
85,Truro,0.163303559403544,0.619508185080092,0.01,0.9780071,0.07892034917085583,0.04929562492496827,0.0926079744708445,0.01,0.39966473934505903,-5.051041000000001,50.2632
86,Milford Haven,0.11886089241145038,0.2713339885027698,0.01,0.9780071,0.13428843351748312,0.5052210035901276,0.052728922337140716,0.01,0.43344802335967975,-5.0426971,51.71431
87,Stranraer,0.18426045283572928,0.6898613878799296,0.01,0.9780071,0.21951066056115887,0.05489378247801903,0.02578120395269855,0.01,0.01,-5.024055000000001,54.903369999999995
88,Fishguard,0.14511327589846923,0.15034992449975568,0.01,0.9780071,0.14121680272987128,0.46658328653591524,0.01,0.01,0.46320345344236336,-4.975989,51.99393
89,Inchnadamph,0.8679554692262267,0.45923925041355884,0.01,0.9780071,0.2503374868667475,0.01,0.14874159682288846,0.01,0.01,-4.974295,58.15221
90,Haverfordwest,0.11670878587572958,0.2671658746254422,0.01,0.9780071,0.13663481471600475,0.4974600368775301,0.051918925544362275,0.01,0.4267895993057871,-4.971319,51.80048
91,Dunoon,0.19106765008581458,0.65788929721488,0.01,0.9780071,0.16485168702956973,0.0591779185426454,0.055586544045520235,0.01,0.011423463325369896,-4.926214,55.95097
92,Pembroke,0.11597814253664679,0.26575077855027757,0.01,0.9780071,0.1354443323605307,0.4948251429916034,0.05164392507741222,0.01,0.4245290258776083,-4.908637000000001,51.674040000000005
93,Girvan,0.19675815131989727,0.702544012374387,0.01,0.9780071,0.17562352852660607,0.055902972767019825,0.05251034734772128,0.01,0.010791282230236192,-4.8542179,55.240159999999996
94,Wadebridge,0.1478230536567271,0.6191339768760264,0.01,0.9780071,0.07881945579122938,0.04926585201593366,0.09255203162902742,0.01,0.39942331995181635,-4.836456,50.51665
95,Invergarry,0.7069580741022379,0.6581561236143572,0.01,0.9780071,0.2566601386566705,0.01,0.27407336128269605,0.01,0.01,-4.800261,57.07095
96,St Austell,0.16001183519675524,0.6084577382599328,0.01,0.9780071,0.10118070254292388,0.04841631645390369,0.0909560840272424,0.01,0.3925357380204583,-4.7834252,50.340379999999996
97,Greenock,0.19189795898957923,0.6604622660669818,0.01,0.9780071,0.1627439975433206,0.05940935937857139,0.055803939258751024,0.01,0.011468140823986997,-4.7719830000000005,55.956480000000006
98,Helensburgh,0.18925128257079024,0.6711668172746913,0.01,0.9780071,0.17186321143448782,0.05867161923451185,0.08266645635189811,0.01,0.011325730470600238,-4.734014,56.00232
99,Bodmin,0.16004259331509077,0.6085609623999952,0.01,0.9780071,0.1012128455665217,0.048424531835706344,0.09097151228221823,0.01,0.39260232666923583,-4.7188629,50.4715
100,Tenby,0.11397288063652314,0.26186709675805186,0.01,0.9780071,0.13217723210828528,0.48759376296891355,0.050889200799071,0.01,0.41832495457210894,-4.703579,51.672740000000005
101,Camelford,0.13408927776269258,0.6257214651756963,0.01,0.9780071,0.08059565546559676,0.04979003219676067,0.09353677472581774,0.01,0.4036731220869229,-4.682364,50.62206
102,Irvine,0.21430726964831978,0.6488039355790118,0.01,0.9780071,0.16554151203044923,0.055928983385152474,0.05253477944006397,0.01,0.010796303214047235,-4.6696364,55.61156999999999
103,Cardigan,0.14731731681349883,0.1523419793132274,0.01,0.9780071,0.14425533036986563,0.3376894781614599,0.01,0.01,0.5214896167487465,-4.660864,52.0837
104,Holyhead,0.5451576195944923,0.37343544876285567,0.01,0.9780071,0.19323796498231863,0.01,0.031101651355790492,0.01,0.07669955243549828,-4.633038,53.30944
105,Ayr,0.21172834301653037,0.6773503314357703,0.01,0.9780071,0.1685316465626935,0.05531662629540129,0.05195958492191762,0.01,0.010678096294913775,-4.629179,55.45856
106,Dumbarton,0.19941578097712076,0.6742619225629463,0.01,0.9780071,0.16077130875618226,0.058942184470363874,0.05536511614277195,0.01,0.01137795928200778,-4.564554,55.94529
107,Bude,0.11278207661218581,0.5537296826340607,0.01,0.9780071,0.0977636015138888,0.128879849647209,0.08070561470020865,0.01,0.3980550599850412,-4.543678,50.826640000000005
108,Isle of Man,0.2170489097538285,0.5027406183955683,0.01,0.9780071,0.5328915096167463,0.01,0.045796251783479736,0.01,0.01,-4.5126330999999995,54.27697
109,Kilmarnock,0.21284535961512138,0.662687628409285,0.01,0.9780071,0.1581720691053579,0.055581859240354296,0.052208721477241524,0.01,0.010729295782598859,-4.498792,55.61472
110,Newton Stewart,0.20948465672141112,0.6298457947982833,0.01,0.9780071,0.21343783149353215,0.052827302809199284,0.0248106664337431,0.01,0.01019756742547574,-4.483164,54.9603
111,Liskeard,0.1601348854802411,0.6088708187876397,0.01,0.9780071,0.10130921511319729,0.04844918939929608,0.09101783458547898,0.01,0.39280223147508575,-4.4647190000000005,50.45552
112,Altnaharra,0.9210814896361528,0.46106257027556846,0.01,0.9780071,0.26825686537781473,0.01,0.14933214451934407,0.01,0.01,-4.442655,58.28023
113,Pwllheli,0.4189672118458544,0.36376175919984455,0.01,0.9780071,0.14727736982923664,0.01,0.01,0.01,0.21791199782948906,-4.417633900000001,52.888819999999996
114,Lairg,0.8751050664907879,0.46293179001807294,0.01,0.9780071,0.26970163476441816,0.01,0.1499375573957764,0.01,0.01,-4.402414,58.022059999999996
115,Launceston,0.16058234753296918,0.610372968263406,0.01,0.9780071,0.0916488079432316,0.048568720635433694,0.09124238353250806,0.01,0.39377131661652537,-4.360451599999999,50.636829999999996
116,Carmarthen,0.0937441371232892,0.11876744011491344,0.01,0.9780071,0.1424502019742602,0.552859256590957,0.01,0.01,0.42688680096780063,-4.312131,51.857620000000004
117,Llangefni,0.5761849204433344,0.39287917164605246,0.01,0.9780071,0.17574989822863965,0.01,0.034704119398241,0.01,0.05705571590009314,-4.311401999999999,53.25578
118,Caernarfon,0.5210726593668586,0.37109094909546886,0.01,0.9780071,0.20176324722633984,0.01,0.030906387671334537,0.01,0.07621802069176964,-4.273911,53.13955
119,Cumnock,0.22013599540840245,0.6740933347854497,0.01,0.9780071,0.16285518859532191,0.057312998327989965,0.0538348016354079,0.01,0.011063466720947953,-4.265828900000001,55.45355
120,Aberaeron,0.16333677532172336,0.14298914739178298,0.01,0.9780071,0.15091857916168974,0.221870235835009,0.01,0.01,0.4568418823826123,-4.2581619,52.24279
121,Alness,0.9086134272312612,0.5560648183578917,0.01,0.9780071,0.23082899298347556,0.01,0.14735628753434482,0.01,0.01,-4.256825,57.69595
122,Glasgow,0.20678707891165343,0.6406514361235555,0.01,0.9780071,0.16489442534613127,0.058474815453065807,0.08238916068399928,0.01,0.011287740270000122,-4.251806,55.86424
123,Dalwhinnie,0.8305644437078168,0.5865706332012692,0.01,0.9780071,0.16205851780303865,0.01,0.23316042301132653,0.01,0.01,-4.242783,56.9366
124,Inverness,0.9595236698413961,0.5435945842924169,0.01,0.9780071,0.21568153358889416,0.01,0.1440516968916657,0.01,0.01,-4.224721,57.47776999999999
125,Saltash,0.15979690238142638,0.6077361811005081,0.01,0.9780071,0.10095623709479923,0.04835890583583043,0.09084822030788758,0.01,0.39207024124478285,-4.21643,50.409209999999995
126,Bideford,0.060930692573444314,0.42436619531751313,0.01,0.9780071,0.11555345554468051,0.21949037274860003,0.0412339982732474,0.01,0.3728518438205309,-4.206666,51.01668
127,Invergordon,0.9051768175046928,0.5540096627067057,0.01,0.9780071,0.22965017735508517,0.01,0.14681167603257916,0.01,0.01,-4.1728819999999995,57.688109999999995
128,Llanelli,0.021418514549231136,0.08811932644362944,0.01,0.9780071,0.16135875227449095,0.6152897070183613,0.01,0.01,0.6070621027766467,-4.160248,51.680890000000005
129,Plymouth,0.15979690238142638,0.6077361811005081,0.01,0.9780071,0.09087225630275585,0.04835890583583043,0.09084822030788758,0.01,0.39207024124478285,-4.1426565,50.37546
130,Tavistock,0.16292194145242936,0.5706711169620939,0.01,0.9780071,0.09396197468403555,0.049193683397888315,0.09241645925709699,0.01,0.39883822766183585,-4.141654,50.551120000000004
131,Porthmadog,0.4073644018468549,0.3763096459288738,0.01,0.9780071,0.19120843066270643,0.01,0.01,0.01,0.15912623120507227,-4.1333839999999995,52.92784
132,Bangor,0.5625551023586366,0.38490596687408385,0.01,0.9780071,0.20543844483004167,0.01,0.03205697512453168,0.01,0.05270364924089491,-4.129263,53.22739
133,Tywyn,0.35107529989877784,0.3461167413329252,0.01,0.9780071,0.16074535624083292,0.01,0.01,0.01,0.3225315705157304,-4.087249,52.58701
134,Aberystwyth,0.19610049395009005,0.18707921123584922,0.01,0.9780071,0.1297928149985062,0.11611316916225872,0.01,0.01,0.40345223406514635,-4.08292,52.4153
135,Lampeter,0.13430761231548646,0.13771450605473695,0.01,0.9780071,0.12724803991544476,0.3561429955083842,0.01,0.01,0.4399897172543834,-4.0785089999999995,52.1129
136,Barnstaple,0.06002495771070406,0.3861133268969253,0.01,0.9780071,0.09656050004544665,0.3646791654195158,0.04893537345308484,0.01,0.3419243071658392,-4.058338,51.07816
137,Tain,0.924749524371205,0.46285728319803143,0.01,0.9780071,0.2530039292465384,0.01,0.14991342561009996,0.01,0.01,-4.05523,57.8115
138,Okehampton,0.12269486425624895,0.5451295535624929,0.01,0.9780071,0.10162451436504462,0.05126391393942824,0.04815282254454912,0.01,0.41562262052921234,-4.004263,50.73831
139,Llandeilo,0.09729389469339286,0.12243411389498843,0.01,0.9780071,0.1099539622615903,0.5699275486677734,0.01,0.01,0.4889621914320566,-3.9914300000000003,51.88469
140,Motherwell,0.32713428125330263,0.6421365134193221,0.01,0.9780071,0.15126661667831254,0.05776093359987023,0.16276666353829347,0.01,0.011149936525992233,-3.9810968,55.78321
141,Golspie,0.9238688305706416,0.46242637622375155,0.01,0.9780071,0.2693109779794693,0.01,0.14977385808698532,0.01,0.01,-3.976086,57.97341
142,Airdrie,0.31873866851863664,0.6448253265790295,0.01,0.9780071,0.15137465295207184,0.05636891451159332,0.21179205927718964,0.01,0.010881225727328848,-3.9625660000000003,55.86626999999999
143,Swansea,0.01,0.17548565568945115,0.01,0.9780071,0.11770805003573531,0.6126607905506051,0.01,0.01,0.5781871037481124,-3.9436459999999998,51.62144
144,Stirling,0.33169398083749635,0.6064861222309219,0.01,0.9780071,0.1290248348309899,0.061708781374223406,0.289819077943024,0.01,0.011912012985013534,-3.9369029,56.116519999999994
145,Tregaron,0.11833862775477953,0.16820065477697257,0.01,0.9780071,0.1295719805215658,0.22370558866790213,0.01,0.01,0.4318321592408498,-3.934385,52.22
146,Castle Douglas,0.22743772692126837,0.5254044708507244,0.01,0.9780071,0.3491559747958219,0.01,0.05105149510167384,0.01,0.02098295363653084,-3.9314139999999997,54.940419999999996
147,Dolgellau,0.42290697594480053,0.5734646443982646,0.01,0.9780071,0.1438176495318756,0.01,0.01,0.01,0.2748278447257715,-3.8844,52.74215
148,Aberfeldy,0.6904419975444087,0.39206312880076766,0.01,0.9780071,0.1021640409685455,0.01,1.0,0.01,0.01,-3.866969,56.62175
149,Machynlleth,0.32889379878933056,0.5123546289155633,0.01,0.9780071,0.22393104059526978,0.01,0.01,0.01,0.2888722483757878,-3.853485,52.59027
150,Brora,0.9243970438153403,0.46268481370719444,0.01,0.9780071,0.26951074091871785,0.01,0.14985756857018748,0.01,0.01,-3.8525480000000005,58.012159999999994
151,Llandudno,0.5814708464509496,0.3888856060918248,0.01,0.9780071,0.22148203981770626,0.01,0.02983143995968555,0.01,0.049044731821341864,-3.827609,53.324059999999996
152,Aviemore,1.0,0.5274360418739366,0.01,0.9780071,0.1576261734212552,0.01,0.12299734667798916,0.01,0.01,-3.823812,57.19449
153,Dalbeattie,0.2617564135841671,0.47354776089528866,0.01,0.9780071,0.40653639099202477,0.01,0.1022506231054973,0.01,0.01,-3.8225269999999996,54.934219999999996
154,Falkirk,0.33099543137753373,0.6085347470373881,0.01,0.9780071,0.1259669618527191,0.059951597413909714,0.28156636117452666,0.01,0.011572812246376124,-3.7839131,56.00188000000001
155,Kingsbridge,0.18923813868466888,0.5435166924711686,0.01,0.9780071,0.1103509286030231,0.04819153812705601,0.09053380459099931,0.01,0.3907133280842673,-3.777493,50.28395
156,Pitlochry,0.7541053004804571,0.38830472884668593,0.01,0.9780071,0.08463508114595594,0.01,0.990413787568116,0.01,0.01,-3.729711,56.70436
157,Colwyn Bay,0.5745128507133443,0.3908205390099313,0.01,0.9780071,0.21636707285329393,0.01,0.029979866529452975,0.01,0.02464437934387009,-3.72764,53.29318000000001
158,Totnes,0.16592252323858658,0.5272448812894794,0.01,0.9780071,0.12512415986916123,0.01,0.05123031699615554,0.01,0.3579597028182394,-3.685797,50.43374
159,Grantown-on-Spey,0.988459383023136,0.5214756802380687,0.01,0.9780071,0.17509638293960217,0.01,0.12160739872397662,0.01,0.01,-3.609628,57.33041
160,Dumfries,0.31851390450393247,0.6433905643827229,0.01,0.9780071,0.335589237872839,0.01,0.17049746877141814,0.01,0.02335903173355664,-3.60512,55.070859999999996
161,Whitehaven,0.095266227632374,0.3971208909028828,0.01,0.9780071,0.6195585655711431,0.01,0.052618200341838006,0.01,0.01,-3.589233,54.5497
162,Dartmouth,0.18142041168574824,0.523328618860638,0.01,0.9780071,0.1235402826193207,0.01,0.0508497909117518,0.01,0.3553008582536464,-3.578807,50.35252
163,Bridgend,0.01661567088193588,0.3258220033908881,0.01,0.9780071,0.1079668091138329,0.8493479727212329,0.01,0.01,0.6089745069046749,-3.576945,51.504290000000005
164,Paignton,0.15169301980213712,0.5358748498825551,0.01,0.9780071,0.1089115163870194,0.01,0.04733532344773483,0.01,0.44747766161437114,-3.564235,50.43508
165,Workington,0.13053467583347644,0.3798650929845114,0.01,0.9780071,0.5917790764749793,0.01,0.05272857376690316,0.01,0.01,-3.5427519999999997,54.64357
166,Llanidloes,0.231357205266431,0.3570388156616647,0.01,0.9780071,0.2495631971427471,0.01,0.01,0.01,0.19743194928173327,-3.5401949999999998,52.447790000000005
167,Exeter,0.1081078399932407,0.5845184946163763,0.01,0.9780071,0.09019975282014853,0.01,0.0486817483856251,0.01,0.46020586659595153,-3.533899,50.71841
168,Torquay,0.15379418932660172,0.542385954894123,0.01,0.9780071,0.11130551687976002,0.01,0.04791046970230982,0.01,0.4529147170294531,-3.525315,50.46192
169,Thurso,0.9045815668787464,0.5033215508309442,0.01,0.9780071,0.2620167140151262,0.01,0.14671734756367932,0.01,0.01,-3.5220800000000003,58.59356999999999
170,Livingston,0.731640368742642,0.2566323211689145,0.01,0.9780071,0.043983144436521765,0.03620050614972995,0.6970733190198954,0.01,0.013975996602799707,-3.518068,55.90071
